Path	x_min	y_min	x_max	y_max	Classid
Data_set/Left/00001_00023.ppm	5	5	36	35	34
Data_set/Left/00001_00024.ppm	6	6	37	38	34
Data_set/Left/00001_00025.ppm	5	6	38	38	34
Data_set/Left/00001_00026.ppm	6	6	41	41	34
Data_set/Left/00001_00027.ppm	6	6	41	41	34
Data_set/Left/00001_00028.ppm	6	6	44	41	34
Data_set/Left/00001_00029.ppm	6	5	45	41	34
Data_set/Left/00002_00000.ppm	6	5	24	22	34
Data_set/Left/00002_00001.ppm	5	6	23	23	34
Data_set/Left/00002_00002.ppm	5	5	24	23	34
Data_set/Left/00002_00003.ppm	5	5	25	24	34
Data_set/Left/00002_00004.ppm	6	5	26	24	34
Data_set/Left/00002_00005.ppm	6	6	26	25	34
Data_set/Left/00002_00006.ppm	6	5	26	24	34
Data_set/Left/00002_00007.ppm	5	6	26	26	34
Data_set/Left/00002_00008.ppm	5	5	26	25	34
Data_set/Left/00002_00009.ppm	5	5	27	26	34
Data_set/Left/00002_00010.ppm	5	6	28	28	34
Data_set/Left/00002_00011.ppm	6	5	30	28	34
Data_set/Left/00002_00012.ppm	6	6	31	30	34
Data_set/Left/00002_00013.ppm	5	6	31	31	34
Data_set/Left/00002_00014.ppm	6	5	34	32	34
Data_set/Left/00002_00015.ppm	5	6	34	34	34
Data_set/Left/00002_00016.ppm	5	6	35	35	34
Data_set/Left/00002_00017.ppm	5	5	37	35	34
Data_set/Left/00002_00018.ppm	6	6	41	38	34
Data_set/Left/00002_00019.ppm	5	6	43	41	34
Data_set/Left/00002_00020.ppm	6	6	46	43	34
Data_set/Left/00002_00021.ppm	5	5	47	44	34
Data_set/Left/00002_00022.ppm	6	5	51	46	34
Data_set/Left/00002_00023.ppm	5	5	52	49	34
Data_set/Left/00002_00024.ppm	6	5	55	53	34
Data_set/Left/00002_00025.ppm	6	5	59	58	34
Data_set/Left/00002_00026.ppm	7	6	66	65	34
Data_set/Left/00002_00027.ppm	6	7	68	72	34
Data_set/Left/00002_00028.ppm	7	8	72	78	34
Data_set/Left/00002_00029.ppm	7	8	75	81	34
Data_set/Left/00003_00000.ppm	5	6	35	40	34
Data_set/Left/00003_00001.ppm	5	5	36	40	34
Data_set/Left/00003_00002.ppm	6	6	39	42	34
Data_set/Left/00003_00003.ppm	6	5	40	42	34
Data_set/Left/00003_00004.ppm	6	6	42	43	34
Data_set/Left/00003_00005.ppm	6	5	43	43	34
Data_set/Left/00003_00006.ppm	5	6	44	46	34
Data_set/Left/00003_00007.ppm	6	6	46	48	34
Data_set/Left/00003_00008.ppm	5	5	47	49	34
Data_set/Left/00003_00009.ppm	6	6	50	52	34
Data_set/Left/00003_00010.ppm	6	6	51	53	34
Data_set/Left/00003_00011.ppm	5	5	52	54	34
Data_set/Left/00003_00012.ppm	5	5	53	55	34
Data_set/Left/00003_00013.ppm	6	5	56	58	34
Data_set/Left/00003_00014.ppm	5	7	57	62	34
Data_set/Left/00003_00015.ppm	7	6	63	65	34
Data_set/Left/00003_00016.ppm	7	6	62	65	34
Data_set/Left/00003_00017.ppm	7	6	64	68	34
Data_set/Left/00003_00018.ppm	6	7	66	72	34
Data_set/Left/00003_00019.ppm	6	8	69	76	34
Data_set/Left/00003_00020.ppm	7	8	73	79	34
Data_set/Left/00003_00021.ppm	8	8	78	83	34
Data_set/Left/00003_00022.ppm	7	8	80	87	34
Data_set/Left/00003_00023.ppm	8	8	85	91	34
Data_set/Left/00003_00024.ppm	8	10	90	99	34
Data_set/Left/00003_00025.ppm	10	10	97	105	34
Data_set/Left/00003_00026.ppm	10	10	103	111	34
Data_set/Left/00003_00027.ppm	11	11	111	120	34
Data_set/Left/00003_00028.ppm	12	12	118	128	34
Data_set/Left/00003_00029.ppm	12	13	124	137	34
Data_set/Left/00004_00000.ppm	6	5	45	44	34
Data_set/Left/00004_00001.ppm	6	6	46	46	34
Data_set/Left/00004_00002.ppm	5	6	46	47	34
Data_set/Left/00004_00003.ppm	6	6	48	48	34
Data_set/Left/00004_00004.ppm	6	6	48	48	34
Data_set/Left/00004_00005.ppm	6	5	49	48	34
Data_set/Left/00004_00006.ppm	6	5	50	49	34
Data_set/Left/00004_00007.ppm	6	5	50	49	34
Data_set/Left/00004_00008.ppm	6	6	52	52	34
Data_set/Left/00004_00009.ppm	6	5	53	52	34
Data_set/Left/00004_00010.ppm	5	6	53	54	34
Data_set/Left/00004_00011.ppm	5	5	54	54	34
Data_set/Left/00004_00012.ppm	6	5	56	55	34
Data_set/Left/00004_00013.ppm	5	5	57	57	34
Data_set/Left/00004_00014.ppm	5	6	58	59	34
Data_set/Left/00004_00015.ppm	6	6	60	60	34
Data_set/Left/00004_00016.ppm	6	7	61	62	34
Data_set/Left/00004_00017.ppm	6	6	62	62	34
Data_set/Left/00004_00018.ppm	7	6	66	65	34
Data_set/Left/00004_00019.ppm	6	7	67	68	34
Data_set/Left/00004_00020.ppm	6	6	68	68	34
Data_set/Left/00004_00021.ppm	7	7	71	71	34
Data_set/Left/00004_00022.ppm	7	7	72	72	34
Data_set/Left/00004_00023.ppm	7	7	74	74	34
Data_set/Left/00004_00024.ppm	7	7	75	75	34
Data_set/Left/00004_00025.ppm	7	8	76	77	34
Data_set/Left/00004_00026.ppm	8	7	79	78	34
Data_set/Left/00004_00027.ppm	7	7	80	80	34
Data_set/Left/00004_00028.ppm	8	8	86	86	34
Data_set/Left/00004_00029.ppm	8	8	88	88	34
Data_set/Left/00005_00000.ppm	5	5	20	23	34
Data_set/Left/00005_00001.ppm	6	5	22	24	34
Data_set/Left/00005_00002.ppm	5	5	23	24	34
Data_set/Left/00005_00003.ppm	6	6	24	26	34
Data_set/Left/00005_00004.ppm	6	6	25	26	34
Data_set/Left/00005_00005.ppm	6	6	25	27	34
Data_set/Left/00005_00006.ppm	5	6	25	28	34
Data_set/Left/00005_00007.ppm	5	6	25	28	34
Data_set/Left/00005_00008.ppm	6	6	27	29	34
Data_set/Left/00005_00009.ppm	6	6	28	30	34
Data_set/Left/00005_00010.ppm	6	5	28	29	34
Data_set/Left/00005_00011.ppm	5	6	28	31	34
Data_set/Left/00005_00012.ppm	5	5	28	31	34
Data_set/Left/00005_00013.ppm	6	6	30	33	34
Data_set/Left/00005_00014.ppm	5	5	30	33	34
Data_set/Left/00005_00015.ppm	5	5	30	33	34
Data_set/Left/00005_00016.ppm	5	6	31	35	34
Data_set/Left/00005_00017.ppm	5	6	32	37	34
Data_set/Left/00005_00018.ppm	6	5	34	37	34
Data_set/Left/00005_00019.ppm	5	6	35	40	34
Data_set/Left/00005_00020.ppm	6	5	36	40	34
Data_set/Left/00005_00021.ppm	5	5	37	42	34
Data_set/Left/00005_00022.ppm	5	6	39	45	34
Data_set/Left/00005_00023.ppm	6	6	42	47	34
Data_set/Left/00005_00024.ppm	6	6	43	49	34
Data_set/Left/00005_00025.ppm	5	6	44	51	34
Data_set/Left/00005_00026.ppm	5	6	47	54	34
Data_set/Left/00005_00027.ppm	5	5	50	56	34
Data_set/Left/00005_00028.ppm	6	6	53	59	34
Data_set/Left/00005_00029.ppm	6	6	56	63	34
Data_set/Left/00006_00000.ppm	6	5	22	23	34
Data_set/Left/00006_00001.ppm	5	5	22	24	34
Data_set/Left/00006_00002.ppm	5	5	22	24	34
Data_set/Left/00006_00003.ppm	6	5	23	24	34
Data_set/Left/00006_00004.ppm	5	6	23	26	34
Data_set/Left/00006_00005.ppm	5	5	23	25	34
Data_set/Left/00006_00006.ppm	5	6	23	26	34
Data_set/Left/00006_00007.ppm	5	6	23	26	34
Data_set/Left/00006_00008.ppm	5	6	23	26	34
Data_set/Left/00006_00009.ppm	5	6	23	28	34
Data_set/Left/00006_00010.ppm	5	6	23	28	34
Data_set/Left/00006_00011.ppm	5	6	23	27	34
Data_set/Left/00006_00012.ppm	5	5	24	27	34
Data_set/Left/00006_00013.ppm	5	5	26	29	34
Data_set/Left/00006_00014.ppm	5	6	26	30	34
Data_set/Left/00006_00015.ppm	5	5	26	29	34
Data_set/Left/00006_00016.ppm	6	5	28	30	34
Data_set/Left/00006_00017.ppm	5	6	28	32	34
Data_set/Left/00006_00018.ppm	6	6	30	33	34
Data_set/Left/00006_00019.ppm	6	6	30	33	34
Data_set/Left/00006_00020.ppm	6	6	31	34	34
Data_set/Left/00006_00021.ppm	5	5	30	33	34
Data_set/Left/00006_00022.ppm	5	5	30	33	34
Data_set/Left/00006_00023.ppm	6	5	32	34	34
Data_set/Left/00006_00024.ppm	6	6	33	36	34
Data_set/Left/00006_00025.ppm	5	5	34	37	34
Data_set/Left/00006_00026.ppm	6	5	36	38	34
Data_set/Left/00006_00027.ppm	5	5	39	39	34
Data_set/Left/00006_00028.ppm	5	5	41	41	34
Data_set/Left/00006_00029.ppm	5	6	43	44	34
Data_set/Left/00007_00000.ppm	6	6	22	22	34
Data_set/Left/00007_00001.ppm	6	6	24	24	34
Data_set/Left/00007_00002.ppm	6	6	24	24	34
Data_set/Left/00007_00003.ppm	5	5	23	23	34
Data_set/Left/00007_00004.ppm	5	6	24	25	34
Data_set/Left/00007_00005.ppm	5	6	23	24	34
Data_set/Left/00007_00006.ppm	6	6	24	24	34
Data_set/Left/00007_00007.ppm	6	6	26	26	34
Data_set/Left/00007_00008.ppm	5	5	26	26	34
Data_set/Left/00007_00009.ppm	6	6	27	27	34
Data_set/Left/00007_00010.ppm	6	6	29	29	34
Data_set/Left/00007_00011.ppm	6	5	31	30	34
Data_set/Left/00007_00012.ppm	6	5	33	32	34
Data_set/Left/00007_00013.ppm	5	5	32	32	34
Data_set/Left/00007_00014.ppm	5	6	33	34	34
Data_set/Left/00007_00015.ppm	5	5	35	35	34
Data_set/Left/00007_00016.ppm	5	6	34	35	34
Data_set/Left/00007_00017.ppm	5	6	37	38	34
Data_set/Left/00007_00018.ppm	6	5	39	38	34
Data_set/Left/00007_00019.ppm	6	6	43	43	34
Data_set/Left/00007_00020.ppm	5	5	45	45	34
Data_set/Left/00007_00021.ppm	6	6	47	47	34
Data_set/Left/00007_00022.ppm	6	6	48	48	34
Data_set/Left/00007_00023.ppm	6	6	50	50	34
Data_set/Left/00007_00024.ppm	6	6	52	52	34
Data_set/Left/00007_00025.ppm	6	5	56	55	34
Data_set/Left/00007_00026.ppm	6	5	58	57	34
Data_set/Left/00007_00027.ppm	5	5	59	59	34
Data_set/Left/00007_00028.ppm	6	7	61	62	34
Data_set/Left/00007_00029.ppm	6	6	62	62	34
Data_set/Left/00008_00000.ppm	6	5	23	23	34
Data_set/Left/00008_00001.ppm	5	5	23	24	34
Data_set/Left/00008_00002.ppm	6	6	24	26	34
Data_set/Left/00008_00003.ppm	5	5	24	25	34
Data_set/Left/00008_00004.ppm	6	6	27	28	34
Data_set/Left/00008_00005.ppm	5	5	26	27	34
Data_set/Left/00008_00006.ppm	5	5	27	28	34
Data_set/Left/00008_00007.ppm	6	6	27	29	34
Data_set/Left/00008_00008.ppm	5	6	27	30	34
Data_set/Left/00008_00009.ppm	5	5	29	31	34
Data_set/Left/00008_00010.ppm	6	6	31	32	34
Data_set/Left/00008_00011.ppm	6	5	32	33	34
Data_set/Left/00008_00012.ppm	6	5	32	31	34
Data_set/Left/00008_00013.ppm	6	5	33	32	34
Data_set/Left/00008_00014.ppm	6	6	35	36	34
Data_set/Left/00008_00015.ppm	6	6	35	36	34
Data_set/Left/00008_00016.ppm	5	5	37	38	34
Data_set/Left/00008_00017.ppm	5	6	37	39	34
Data_set/Left/00008_00018.ppm	6	5	40	40	34
Data_set/Left/00008_00019.ppm	5	6	40	42	34
Data_set/Left/00008_00020.ppm	5	6	41	43	34
Data_set/Left/00008_00021.ppm	6	5	45	45	34
Data_set/Left/00008_00022.ppm	5	5	46	46	34
Data_set/Left/00008_00023.ppm	5	6	48	51	34
Data_set/Left/00008_00024.ppm	5	5	49	51	34
Data_set/Left/00008_00025.ppm	5	5	53	55	34
Data_set/Left/00008_00026.ppm	6	5	57	58	34
Data_set/Left/00008_00027.ppm	6	6	64	65	34
Data_set/Left/00008_00028.ppm	7	6	66	67	34
Data_set/Left/00008_00029.ppm	7	7	72	74	34
Data_set/Left/00009_00000.ppm	6	6	25	27	34
Data_set/Left/00009_00001.ppm	6	6	27	27	34
Data_set/Left/00009_00002.ppm	6	5	27	26	34
Data_set/Left/00009_00003.ppm	6	5	27	26	34
Data_set/Left/00009_00004.ppm	6	6	26	26	34
Data_set/Left/00009_00005.ppm	6	6	28	28	34
Data_set/Left/00009_00006.ppm	5	5	28	28	34
Data_set/Left/00009_00007.ppm	6	5	30	29	34
Data_set/Left/00009_00008.ppm	6	6	31	31	34
Data_set/Left/00009_00009.ppm	6	6	31	31	34
Data_set/Left/00009_00010.ppm	6	6	31	32	34
Data_set/Left/00009_00011.ppm	6	6	33	33	34
Data_set/Left/00009_00012.ppm	6	6	33	33	34
Data_set/Left/00009_00013.ppm	5	6	35	36	34
Data_set/Left/00009_00014.ppm	6	6	36	36	34
Data_set/Left/00009_00015.ppm	5	5	35	35	34
Data_set/Left/00009_00016.ppm	5	5	36	36	34
Data_set/Left/00009_00017.ppm	6	6	38	38	34
Data_set/Left/00009_00018.ppm	5	6	40	42	34
Data_set/Left/00009_00019.ppm	5	5	42	43	34
Data_set/Left/00009_00020.ppm	6	5	44	44	34
Data_set/Left/00009_00021.ppm	6	6	46	47	34
Data_set/Left/00009_00022.ppm	6	6	48	48	34
Data_set/Left/00009_00023.ppm	5	6	50	52	34
Data_set/Left/00009_00024.ppm	5	5	52	53	34
Data_set/Left/00009_00025.ppm	5	6	58	60	34
Data_set/Left/00009_00026.ppm	6	6	62	63	34
Data_set/Left/00009_00027.ppm	6	7	67	70	34
Data_set/Left/00009_00028.ppm	8	7	75	74	34
Data_set/Left/00009_00029.ppm	9	8	86	85	34
Data_set/Left/00010_00000.ppm	6	5	25	28	34
Data_set/Left/00010_00001.ppm	5	6	24	29	34
Data_set/Left/00010_00002.ppm	6	5	26	29	34
Data_set/Left/00010_00003.ppm	6	6	26	30	34
Data_set/Left/00010_00004.ppm	5	6	25	30	34
Data_set/Left/00010_00005.ppm	5	5	25	29	34
Data_set/Left/00010_00006.ppm	5	6	26	31	34
Data_set/Left/00010_00007.ppm	5	6	26	32	34
Data_set/Left/00010_00008.ppm	6	6	27	33	34
Data_set/Left/00010_00009.ppm	5	5	27	33	34
Data_set/Left/00010_00010.ppm	5	5	28	34	34
Data_set/Left/00010_00011.ppm	5	6	30	36	34
Data_set/Left/00010_00012.ppm	6	5	31	35	34
Data_set/Left/00010_00013.ppm	6	5	32	36	34
Data_set/Left/00010_00014.ppm	6	5	34	37	34
Data_set/Left/00010_00015.ppm	5	5	34	39	34
Data_set/Left/00010_00016.ppm	5	5	33	38	34
Data_set/Left/00010_00017.ppm	5	6	34	41	34
Data_set/Left/00010_00018.ppm	6	5	36	42	34
Data_set/Left/00010_00019.ppm	5	5	34	42	34
Data_set/Left/00010_00020.ppm	6	5	37	44	34
Data_set/Left/00010_00021.ppm	6	6	39	48	34
Data_set/Left/00010_00022.ppm	6	6	41	49	34
Data_set/Left/00010_00023.ppm	6	6	42	50	34
Data_set/Left/00010_00024.ppm	6	6	46	56	34
Data_set/Left/00010_00025.ppm	6	6	48	59	34
Data_set/Left/00010_00026.ppm	5	7	49	64	34
Data_set/Left/00010_00027.ppm	6	6	56	68	34
Data_set/Left/00010_00028.ppm	7	8	62	73	34
Data_set/Left/00010_00029.ppm	7	8	70	82	34
Data_set/Left/00011_00000.ppm	5	5	23	22	34
Data_set/Left/00011_00001.ppm	6	5	24	23	34
Data_set/Left/00011_00002.ppm	6	6	23	23	34
Data_set/Left/00011_00003.ppm	6	5	24	24	34
Data_set/Left/00011_00004.ppm	5	6	24	25	34
Data_set/Left/00011_00005.ppm	6	6	25	25	34
Data_set/Left/00011_00006.ppm	6	5	24	23	34
Data_set/Left/00011_00007.ppm	6	5	25	24	34
Data_set/Left/00011_00008.ppm	6	5	26	24	34
Data_set/Left/00011_00009.ppm	6	6	25	25	34
Data_set/Left/00011_00010.ppm	6	5	26	25	34
Data_set/Left/00011_00011.ppm	6	5	27	26	34
Data_set/Left/00011_00012.ppm	6	5	27	26	34
Data_set/Left/00011_00013.ppm	5	6	26	27	34
Data_set/Left/00011_00014.ppm	6	5	27	26	34
Data_set/Left/00011_00015.ppm	5	6	26	27	34
Data_set/Left/00011_00016.ppm	6	6	53	53	34
Data_set/Left/00011_00017.ppm	5	6	55	56	34
Data_set/Left/00011_00018.ppm	6	5	57	56	34
Data_set/Left/00011_00019.ppm	5	6	59	60	34
Data_set/Left/00011_00020.ppm	6	7	62	63	34
Data_set/Left/00011_00021.ppm	7	7	67	67	34
Data_set/Left/00011_00022.ppm	6	7	68	69	34
Data_set/Left/00011_00023.ppm	8	8	73	73	34
Data_set/Left/00011_00024.ppm	8	8	76	76	34
Data_set/Left/00011_00025.ppm	7	7	80	80	34
Data_set/Left/00011_00026.ppm	8	9	84	86	34
Data_set/Left/00011_00027.ppm	9	9	91	91	34
Data_set/Left/00011_00028.ppm	10	9	97	97	34
Data_set/Left/00011_00029.ppm	10	10	105	108	34
Data_set/Left/00012_00000.ppm	5	5	22	23	34
Data_set/Left/00012_00001.ppm	6	5	24	24	34
Data_set/Left/00012_00002.ppm	6	5	25	25	34
Data_set/Left/00012_00003.ppm	6	5	25	25	34
Data_set/Left/00012_00004.ppm	5	5	25	25	34
Data_set/Left/00012_00005.ppm	6	5	27	26	34
Data_set/Left/00012_00006.ppm	6	6	28	28	34
Data_set/Left/00012_00007.ppm	6	6	28	27	34
Data_set/Left/00012_00008.ppm	6	6	28	28	34
Data_set/Left/00012_00009.ppm	6	6	29	27	34
Data_set/Left/00012_00010.ppm	5	6	29	28	34
Data_set/Left/00012_00011.ppm	6	6	29	29	34
Data_set/Left/00012_00012.ppm	6	6	30	30	34
Data_set/Left/00012_00013.ppm	6	5	31	30	34
Data_set/Left/00012_00014.ppm	6	6	31	31	34
Data_set/Left/00012_00015.ppm	6	5	31	30	34
Data_set/Left/00012_00016.ppm	5	5	30	31	34
Data_set/Left/00012_00017.ppm	6	6	32	34	34
Data_set/Left/00012_00018.ppm	5	6	31	34	34
Data_set/Left/00012_00019.ppm	6	5	31	31	34
Data_set/Left/00012_00020.ppm	6	6	32	33	34
Data_set/Left/00012_00021.ppm	5	6	32	34	34
Data_set/Left/00012_00022.ppm	6	6	33	34	34
Data_set/Left/00012_00023.ppm	5	6	33	33	34
Data_set/Left/00012_00024.ppm	5	6	32	32	34
Data_set/Left/00012_00025.ppm	5	6	32	35	34
Data_set/Left/00012_00026.ppm	5	6	32	35	34
Data_set/Left/00012_00027.ppm	5	5	32	34	34
Data_set/Left/00012_00028.ppm	5	6	32	35	34
Data_set/Left/00012_00029.ppm	5	5	32	33	34
Data_set/Left/00013_00000.ppm	6	5	34	33	34
Data_set/Left/00013_00001.ppm	5	5	32	33	34
Data_set/Left/00013_00002.ppm	5	6	31	32	34
Data_set/Left/00013_00003.ppm	6	5	33	34	34
Data_set/Left/00013_00004.ppm	6	6	33	35	34
Data_set/Left/00013_00005.ppm	5	5	34	34	34
Data_set/Left/00013_00006.ppm	6	6	35	35	34
Data_set/Left/00013_00007.ppm	6	6	35	35	34
Data_set/Left/00013_00008.ppm	6	5	36	35	34
Data_set/Left/00013_00009.ppm	6	5	36	35	34
Data_set/Left/00013_00010.ppm	5	5	36	36	34
Data_set/Left/00013_00011.ppm	5	6	36	37	34
Data_set/Left/00013_00012.ppm	6	5	38	37	34
Data_set/Left/00013_00013.ppm	5	5	37	37	34
Data_set/Left/00013_00014.ppm	6	5	39	38	34
Data_set/Left/00013_00015.ppm	5	5	38	38	34
Data_set/Left/00013_00016.ppm	6	5	40	39	34
Data_set/Left/00013_00017.ppm	5	5	40	40	34
Data_set/Left/00013_00018.ppm	5	6	41	42	34
Data_set/Left/00013_00019.ppm	6	5	43	42	34
Data_set/Left/00013_00020.ppm	6	6	45	45	34
Data_set/Left/00013_00021.ppm	6	5	47	46	34
Data_set/Left/00013_00022.ppm	6	6	47	47	34
Data_set/Left/00013_00023.ppm	5	6	48	49	34
Data_set/Left/00013_00024.ppm	5	5	50	50	34
Data_set/Left/00013_00025.ppm	6	5	54	53	34
Data_set/Left/00013_00026.ppm	5	6	58	59	34
Data_set/Left/00013_00027.ppm	7	6	63	60	34
Data_set/Left/00013_00028.ppm	6	7	66	62	34
Data_set/Left/00013_00029.ppm	6	7	68	65	34
Data_set/Stop/00000_00000.ppm	6	5	43	40	14
Data_set/Stop/00000_00001.ppm	6	6	43	41	14
Data_set/Stop/00000_00002.ppm	5	6	44	41	14
Data_set/Stop/00000_00003.ppm	5	6	46	44	14
Data_set/Stop/00000_00004.ppm	5	5	45	43	14
Data_set/Stop/00000_00005.ppm	6	6	47	46	14
Data_set/Stop/00000_00006.ppm	6	5	49	47	14
Data_set/Stop/00000_00007.ppm	5	5	49	49	14
Data_set/Stop/00000_00008.ppm	6	6	51	51	14
Data_set/Stop/00000_00009.ppm	6	5	52	51	14
Data_set/Stop/00000_00010.ppm	6	5	54	53	14
Data_set/Stop/00000_00011.ppm	6	6	55	55	14
Data_set/Stop/00000_00012.ppm	6	6	58	58	14
Data_set/Stop/00000_00013.ppm	5	6	59	60	14
Data_set/Stop/00000_00014.ppm	7	6	63	62	14
Data_set/Stop/00000_00015.ppm	7	6	66	65	14
Data_set/Stop/00000_00016.ppm	7	7	67	67	14
Data_set/Stop/00000_00017.ppm	6	7	68	70	14
Data_set/Stop/00000_00018.ppm	7	8	74	75	14
Data_set/Stop/00000_00019.ppm	8	7	78	77	14
Data_set/Stop/00000_00020.ppm	7	8	81	82	14
Data_set/Stop/00000_00021.ppm	8	8	88	88	14
Data_set/Stop/00000_00022.ppm	8	8	92	91	14
Data_set/Stop/00000_00023.ppm	10	10	100	99	14
Data_set/Stop/00000_00024.ppm	10	10	107	107	14
Data_set/Stop/00000_00025.ppm	11	11	114	113	14
Data_set/Stop/00000_00026.ppm	11	12	120	120	14
Data_set/Stop/00000_00027.ppm	12	13	132	131	14
Data_set/Stop/00000_00028.ppm	15	14	150	146	14
Data_set/Stop/00000_00029.ppm	14	15	158	157	14
Data_set/Stop/00001_00000.ppm	5	5	25	25	14
Data_set/Stop/00001_00001.ppm	6	5	27	26	14
Data_set/Stop/00001_00002.ppm	5	6	28	29	14
Data_set/Stop/00001_00003.ppm	5	5	28	29	14
Data_set/Stop/00001_00004.ppm	6	6	30	30	14
Data_set/Stop/00001_00005.ppm	6	6	32	32	14
Data_set/Stop/00001_00006.ppm	6	6	32	32	14
Data_set/Stop/00001_00007.ppm	6	5	33	32	14
Data_set/Stop/00001_00008.ppm	5	5	34	34	14
Data_set/Stop/00001_00009.ppm	6	6	36	37	14
Data_set/Stop/00001_00010.ppm	6	6	38	38	14
Data_set/Stop/00001_00011.ppm	6	5	40	39	14
Data_set/Stop/00001_00012.ppm	5	6	42	43	14
Data_set/Stop/00001_00013.ppm	6	6	46	46	14
Data_set/Stop/00001_00014.ppm	5	5	46	46	14
Data_set/Stop/00001_00015.ppm	5	5	50	50	14
Data_set/Stop/00001_00016.ppm	6	6	54	54	14
Data_set/Stop/00001_00017.ppm	5	5	57	58	14
Data_set/Stop/00001_00018.ppm	6	6	62	63	14
Data_set/Stop/00001_00019.ppm	7	6	67	67	14
Data_set/Stop/00001_00020.ppm	7	7	72	73	14
Data_set/Stop/00001_00021.ppm	8	7	80	80	14
Data_set/Stop/00001_00022.ppm	9	9	88	91	14
Data_set/Stop/00001_00023.ppm	9	10	98	101	14
Data_set/Stop/00001_00024.ppm	10	10	110	109	14
Data_set/Stop/00001_00025.ppm	12	11	121	119	14
Data_set/Stop/00001_00026.ppm	12	13	132	132	14
Data_set/Stop/00001_00027.ppm	14	14	146	144	14
Data_set/Stop/00001_00028.ppm	16	14	163	157	14
Data_set/Stop/00001_00029.ppm	16	17	177	174	14
Data_set/Stop/00002_00000.ppm	5	6	26	27	14
Data_set/Stop/00002_00001.ppm	5	5	26	27	14
Data_set/Stop/00002_00002.ppm	6	5	27	27	14
Data_set/Stop/00002_00003.ppm	6	5	29	29	14
Data_set/Stop/00002_00004.ppm	5	5	29	29	14
Data_set/Stop/00002_00005.ppm	6	6	31	31	14
Data_set/Stop/00002_00006.ppm	5	5	31	31	14
Data_set/Stop/00002_00007.ppm	6	5	32	31	14
Data_set/Stop/00002_00008.ppm	5	6	32	33	14
Data_set/Stop/00002_00009.ppm	6	5	35	34	14
Data_set/Stop/00002_00010.ppm	5	6	35	36	14
Data_set/Stop/00002_00011.ppm	5	5	36	36	14
Data_set/Stop/00002_00012.ppm	5	5	36	36	14
Data_set/Stop/00002_00013.ppm	5	6	37	38	14
Data_set/Stop/00002_00014.ppm	6	6	39	39	14
